index,subsystem,toc_title,page_title,url,chars,text_file,html_file,error
1,Commercial Vehicle,Add Ons,Add Ons screen,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Commercial/Commercial_Vehicles/Add_Ons.htm,377,mobius_output\pages\0001_Add_Ons.txt,mobius_output\html\0001_Add_Ons.html,
2,Commercial Vehicle,Claims Summary,Claims Summary screen,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Commercial/Commercial_Vehicles/Claims_Summary.htm,1073,mobius_output\pages\0002_Claims_Summary.txt,mobius_output\html\0002_Claims_Summary.html,
3,Commercial Vehicle,1: Commercial Vehicle Insurance,1: Commercial Vehicle Insurance,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Commercial/Commercial_Vehicles/Commercial_Vehicle_Insurance.htm,2281,mobius_output\pages\0003_1_Commercial_Vehicle_Insurance.txt,mobius_output\html\0003_1_Commercial_Vehicle_Insurance.html,
4,Commercial Vehicle,Commerial Vehicle,Commercial Vehicle Contents,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Commercial/Commercial_Vehicles/Contents.htm,383,mobius_output\pages\0004_Commerial_Vehicle.txt,mobius_output\html\0004_Commerial_Vehicle.html,
5,Commercial Vehicle,Conviction Details,Conviction Details screen,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Commercial/Commercial_Vehicles/Conviction_Details.htm,2161,mobius_output\pages\0005_Conviction_Details.txt,mobius_output\html\0005_Conviction_Details.html,
6,Commercial Vehicle,Conviction Summary,Conviction Summary screen,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Commercial/Commercial_Vehicles/Conviction_Summary.htm,785,mobius_output\pages\0006_Conviction_Summary.txt,mobius_output\html\0006_Conviction_Summary.html,
7,Commercial Vehicle,Driver Information,Driver  Information,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Commercial/Commercial_Vehicles/Driver.htm,7450,mobius_output\pages\0007_Driver_Information.txt,mobius_output\html\0007_Driver_Information.html,
8,Commercial Vehicle,2: Driver Options Screen,2: Driver Options Screen,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Commercial/Commercial_Vehicles/Driver_Options.htm,1791,mobius_output\pages\0008_2_Driver_Options_Screen.txt,mobius_output\html\0008_2_Driver_Options_Screen.html,
9,Commercial Vehicle,Drivers,Drivers screen,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Commercial/Commercial_Vehicles/Drivers.htm,1159,mobius_output\pages\0009_Drivers.txt,mobius_output\html\0009_Drivers.html,
10,Commercial Vehicle,Health Conditions,Health Conditions screen,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Commercial/Commercial_Vehicles/Health_Conditions.htm,833,mobius_output\pages\0010_Health_Conditions.txt,mobius_output\html\0010_Health_Conditions.html,
